	Unnamed: 0	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	track_name	artist	genre	A	Ab	Bb	C	C#	D	E	Eb	F	F#	G	major
523	5	0.711	0.647	-5.667	0.0822	0.334	0.0	0.312	0.227	125.092	163302	4	1 0 0 . m i l ‘ (with Bas)	J. Cole	4	0	0	0	0	0	1	0	0	0	0	0	0
524	6	0.861	0.656	-7.867	0.425	0.104	0.0	0.0986	0.331	88.967	218210	4	p r i d e . i s . t h e . d e v i l (with Lil Baby)	J. Cole	4	0	0	0	0	0	0	1	0	0	0	0	0
525	7	0.583	0.625	-8.011	0.277	0.506	0.0	0.196	0.516	89.812	266291	4	l e t . g o . m y . h a n d (with Bas & 6LACK)	J. Cole	4	0	0	0	0	1	0	0	0	0	0	0	1
526	8	0.77	0.574	-5.525	0.106	0.0617	0.0	0.104	0.104	98.962	133022	3	i n t e r l u d e	J. Cole	4	0	0	0	0	1	0	0	0	0	0	0	1
527	9	0.618	0.632	-6.973	0.346	0.0526	0.0	0.353	0.319	81.446	306257	4	t h e . c l i m b . b a c k	J. Cole	4	0	0	0	0	0	0	0	0	0	0	0	1
528	10	0.582	0.912	-5.637	0.432	0.32	0.0	0.0931	0.515	87.931	168763	4	c l o s e	J. Cole	4	1	0	0	0	0	0	0	0	0	0	0	1
529	11	0.563	0.703	-5.756	0.0702	0.126	0.0	0.213	0.294	94.983	238972	4	h u n g e r . o n . h i l l s i d e (with Bas)	J. Cole	4	0	0	0	0	0	1	0	0	0	0	0	1
530	0	0.513	0.28	-16.708	0.0441	0.811	7.48e-05	0.087	0.545	111.456	107161	3	Intro	J. Cole	4	0	1	0	0	0	0	0	0	0	0	0	0
531	1	0.823	0.783	-6.274	0.154	0.21	0.0	0.113	0.199	141.882	191437	4	KOD	J. Cole	4	0	0	0	1	0	0	0	0	0	0	0	1
532	2	0.691	0.487	-6.416	0.268	0.0299	0.0	0.0868	0.358	104.98	218954	3	Photograph	J. Cole	4	0	0	0	0	1	0	0	0	0	0	0	1
533	3	0.734	0.543	-7.979	0.4	0.186	0.0	0.372	0.336	78.168	237295	4	The Cut Off (feat. kiLL edward)	J. Cole	4	0	0	0	0	1	0	0	0	0	0	0	1
534	4	0.772	0.498	-7.661	0.649	0.115	0.0	0.0898	0.351	81.817	216727	4	ATM	J. Cole	4	0	1	0	0	0	0	0	0	0	0	0	1
535	5	0.869	0.385	-7.801	0.297	0.135	0.0	0.0931	0.596	149.897	133922	4	Motiv8	J. Cole	4	0	0	0	0	0	0	1	0	0	0	0	1
536	6	0.829	0.527	-6.644	0.367	0.482	0.0	0.631	0.475	116.079	200310	4	Kevin’s Heart	J. Cole	4	0	0	0	0	0	0	0	0	0	1	0	0
537	7	0.678	0.567	-9.148	0.261	0.188	1.67e-06	0.164	0.658	84.039	315771	4	BRACKETS	J. Cole	4	0	0	1	0	0	0	0	0	0	0	0	0
538	8	0.623	0.473	-8.336	0.461	0.626	0.0	0.119	0.138	84.066	197822	4	Once an Addict - Interlude	J. Cole	4	0	1	0	0	0	0	0	0	0	0	0	1
539	9	0.715	0.652	-7.909	0.396	0.101	0.0	0.11	0.498	109.28	257646	5	FRIENDS (feat. kiLL edward)	J. Cole	4	0	0	0	0	0	0	0	0	0	1	0	0
540	10	0.719	0.626	-9.351	0.397	0.0607	0.0	0.0728	0.179	75.032	286730	4	Window Pain - Outro	J. Cole	4	0	1	0	0	0	0	0	0	0	0	0	1
541	11	0.679	0.648	-5.892	0.445	0.145	0.0	0.182	0.635	94.378	190177	4	1985 - Intro to “The Fall Off”	J. Cole	4	0	0	0	0	0	1	0	0	0	0	0	1
542	0	0.487	0.789	-3.69	0.044	0.00947	4.05e-06	0.189	0.0564	150.007	270715	4	STARGAZING	Travis Scott	4	0	1	0	0	0	0	0	0	0	0	0	1
543	1	0.428	0.403	-5.914	0.209	0.229	0.0	0.22	0.133	95.387	180183	5	CAROUSEL	Travis Scott	4	0	0	0	0	0	0	0	0	1	0	0	0
544	2	0.834	0.73	-3.714	0.222	0.00513	0.0	0.124	0.446	155.008	312820	4	SICKO MODE	Travis Scott	4	0	1	0	0	0	0	0	0	0	0	0	1
545	3	0.607	0.609	-5.978	0.291	0.389	1.6e-05	0.111	0.556	74.946	185610	4	R.I.P. SCREW	Travis Scott	4	0	0	0	1	0	0	0	0	0	0	0	0
546	4	0.588	0.567	-3.738	0.0628	0.221	0.0	0.135	0.113	150.009	338438	4	STOP TRYING TO BE GOD	Travis Scott	4	0	0	0	0	0	0	1	0	0	0	0	0
547	5	0.731	0.811	-3.225	0.0712	0.0204	0.0	0.411	0.426	147.045	218284	4	NO BYSTANDERS	Travis Scott	4	0	0	0	0	1	0	0	0	0	0	0	1
548	6	0.46	0.686	-5.948	0.0367	0.00146	0.0	0.375	0.252	148.054	145588	4	SKELETONS	Travis Scott	4	0	0	0	1	0	0	0	0	0	0	0	0
549	7	0.741	0.645	-5.116	0.0963	0.192	0.0	0.163	0.488	149.07	231964	4	WAKE UP	Travis Scott	4	0	0	0	0	0	0	0	0	0	0	0	0
550	8	0.712	0.481	-5.415	0.0487	0.173	0.0	0.241	0.062	140.0	196138	4	5% TINT	Travis Scott	4	0	0	0	0	0	0	1	0	0	0	0	0
551	9	0.804	0.763	-5.48	0.0519	0.0678	0.0	0.368	0.0585	136.052	156886	4	NC-17	Travis Scott	4	0	0	0	0	0	1	0	0	0	0	0	1
552	10	0.7	0.46	-8.111	0.0661	0.142	4.81e-05	0.111	0.286	151.901	142969	4	ASTROTHUNDER	Travis Scott	4	0	0	0	0	0	0	1	0	0	0	0	0
553	11	0.785	0.554	-6.571	0.0409	0.283	3.4e-06	0.116	0.144	128.047	150043	4	YOSEMITE	Travis Scott	4	0	0	0	1	0	0	0	0	0	0	0	1
554	12	0.702	0.708	-5.366	0.0547	0.201	0.0	0.118	0.713	147.98	198408	4	CAN'T SAY	Travis Scott	4	0	0	1	0	0	0	0	0	0	0	0	0
555	13	0.834	0.731	-5.603	0.0566	0.0462	0.0	0.0731	0.681	140.001	176720	4	WHO? WHAT!	Travis Scott	4	0	0	1	0	0	0	0	0	0	0	0	0
556	14	0.763	0.628	-5.85	0.05	0.0531	0.0	0.114	0.193	140.958	190557	4	BUTTERFLY EFFECT	Travis Scott	4	0	0	0	0	0	0	0	0	0	0	0	1
557	15	0.689	0.723	-4.052	0.0836	0.0985	0.0	0.158	0.288	160.042	217828	4	HOUSTONFORNICATION	Travis Scott	4	0	0	0	1	0	0	0	0	0	0	0	0
558	16	0.81	0.582	-5.098	0.125	0.0862	0.00681	0.207	0.503	95.004	209116	4	COFFEE BEAN	Travis Scott	4	0	0	0	0	0	0	0	0	1	0	0	0
559	0	0.585	0.737	-4.121	0.191	0.0661	0.0	0.0904	0.0497	171.853	201263	4	the ends	Travis Scott	4	0	0	0	0	0	0	1	0	0	0	0	0
560	1	0.396	0.554	-5.048	0.0488	0.222	0.0	0.612	0.17	117.384	272501	4	way back	Travis Scott	4	0	0	0	1	0	0	0	0	0	0	0	1
561	2	0.688	0.658	-4.155	0.0695	0.105	1.89e-06	0.335	0.28	75.615	226397	4	coordinate	Travis Scott	4	0	0	0	0	1	0	0	0	0	0	0	1
562	3	0.744	0.589	-1.218	0.0359	0.36	0.0	0.119	0.242	127.051	286236	4	through the late night	Travis Scott	4	0	0	0	0	0	0	0	0	1	0	0	0
563	4	0.743	0.571	-6.054	0.145	0.24	0.0	0.291	0.495	119.054	213863	4	beibs in the trap	Travis Scott	4	0	0	0	0	0	0	0	0	0	0	1	0
564	5	0.507	0.586	-8.15	0.0586	0.599	0.0544	0.118	0.588	108.164	191623	4	sdp interlude	Travis Scott	4	0	0	0	1	0	0	0	0	0	0	0	0
565	6	0.733	0.578	-5.245	0.0417	0.0859	1.19e-06	0.403	0.447	142.028	222318	4	sweet sweet	Travis Scott	4	0	0	0	1	0	0	0	0	0	0	0	0
566	7	0.758	0.616	-3.471	0.311	0.503	0.0	0.103	0.494	165.906	176488	4	outside	Travis Scott	4	0	0	0	0	0	1	0	0	0	0	0	1
567	8	0.841	0.728	-3.37	0.0484	0.0847	0.0	0.149	0.43	130.049	243837	4	goosebumps	Travis Scott	4	0	0	0	0	0	0	0	0	0	0	1	1
568	9	0.423	0.536	-3.8	0.16	0.015	0.0	0.095	0.0895	71.313	313909	5	first take	Travis Scott	4	0	0	0	0	0	0	0	0	0	0	1	1
569	10	0.711	0.739	-3.804	0.129	0.114	0.0	0.226	0.43	136.919	252256	4	pick up the phone	Travis Scott	4	0	0	0	0	0	0	0	0	0	0	1	0
570	11	0.832	0.557	-3.947	0.053	0.307	0.0	0.176	0.279	125.999	200453	4	lose	Travis Scott	4	0	0	0	0	0	0	0	0	0	0	1	0
571	12	0.702	0.753	-2.943	0.24	0.0609	1.38e-06	0.41	0.453	139.98	207107	4	guidance	Travis Scott	4	0	0	0	0	0	0	0	0	0	0	0	1
572	13	0.769	0.569	-5.591	0.0786	0.0737	0.0	0.0571	0.612	146.062	216946	4	wonderful	Travis Scott	4	0	0	0	0	1	0	0	0	0	0	0	0
573	0	0.543	0.222	-17.523	0.0952	0.996	0.923	0.0957	0.279	84.882	144773	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Tema (Vivace) - Variation I (Alla marcia maestoso)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
574	1	0.457	0.11	-36.771	0.0476	0.993	0.955	0.107	0.969	111.927	41187	3	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation II (Poco allegro)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
575	2	0.416	0.0199	-33.366	0.0779	0.995	0.913	0.115	0.239	74.757	85600	1	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation III (L'istesso tempo)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
576	3	0.417	0.221	-21.091	0.0396	0.984	0.903	0.141	0.495	105.653	55200	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation IV (Un poco più vivace)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
577	4	0.545	0.171	-20.144	0.0682	0.995	0.931	0.122	0.262	110.869	53613	3	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation V (Allegro vivace)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
578	5	0.312	0.263	-21.452	0.0388	0.987	0.886	0.107	0.336	109.205	114147	3	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation VI (Allegro ma non troppo e serioso)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
579	6	0.146	0.266	-17.672	0.0365	0.981	0.892	0.165	0.576	183.017	65840	3	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation VII (Un poco più allegro)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
580	7	0.297	0.0218	-35.424	0.0388	0.995	0.947	0.0815	0.443	69.989	96933	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation VIII (Poco vivace)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
581	8	0.607	0.208	-19.432	0.0705	0.993	0.926	0.148	0.691	71.97	109920	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation IX (Allegro pesante e risoluto)	Ludwig van Beethoven	3	0	0	0	0	1	0	0	0	0	0	0	1
582	9	0.329	0.496	-20.343	0.0532	0.987	0.944	0.144	0.229	182.02	37493	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation X (Presto)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
583	10	0.383	0.02	-32.809	0.0484	0.996	0.938	0.106	0.219	66.983	68440	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XI (Allegretto)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
584	11	0.167	0.163	-28.749	0.0421	0.99	0.929	0.107	0.2	162.512	56893	3	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XII (Un poco più moto)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
585	12	0.604	0.0634	-18.314	0.158	0.982	0.861	0.102	0.589	148.532	65960	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XIII (Vivace)	Ludwig van Beethoven	3	0	0	0	0	0	0	0	0	0	0	1	1
586	13	0.442	0.00227	-22.42	0.136	0.993	0.944	0.0767	0.126	65.826	316533	3	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XIV (Grave e maestoso)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
587	14	0.533	0.133	-28.686	0.0719	0.996	0.951	0.126	0.867	115.059	35147	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XV (Presto scherzando)	Ludwig van Beethoven	3	0	0	0	0	0	0	0	0	0	0	1	1
588	15	0.349	0.269	-18.003	0.0328	0.989	0.914	0.187	0.655	124.208	62693	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XVI (Allegro)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
589	16	0.362	0.29	-18.603	0.0328	0.96	0.93	0.158	0.67	133.503	62600	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XVII	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
590	17	0.303	0.0547	-30.531	0.0547	0.995	0.915	0.0937	0.29	149.129	88467	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XVIII (Poco moderato)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
591	18	0.287	0.272	-17.561	0.0408	0.994	0.819	0.129	0.714	126.242	49227	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XIX (Presto)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
592	19	0.485	0.00196	-42.892	0.398	0.996	0.964	0.103	0.0786	133.029	126547	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XX (Andante)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
593	20	0.215	0.269	-18.984	0.0487	0.994	0.886	0.114	0.386	153.451	66613	3	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XXI (Allegro con brio - Meno allegro - Tempo I)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
594	21	0.817	0.0401	-19.349	0.0448	0.995	0.672	0.129	0.533	95.498	45840	4	"33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XXII (Allegro molto): Alla ""Notte e giorno faticar"" di Mozart"	Ludwig van Beethoven	3	0	0	0	0	0	0	0	0	0	0	1	1
595	22	0.288	0.206	-19.914	0.0402	0.988	0.943	0.166	0.803	170.507	51240	3	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XXIII (Allegro assai)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
596	23	0.43	0.00908	-36.64	0.0563	0.996	0.941	0.0656	0.375	129.02	194507	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XXIV: Fughetta (Andante)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
597	24	0.505	0.122	-24.899	0.0372	0.995	0.96	0.115	0.8	85.126	47053	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XXV (Allegro)	Ludwig van Beethoven	3	0	0	0	0	0	1	0	0	0	0	0	0
598	25	0.386	0.0883	-31.699	0.0619	0.993	0.904	0.117	0.443	82.237	73827	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XXVI	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
599	26	0.33	0.169	-21.363	0.0314	0.979	0.905	0.151	0.692	102.885	56813	3	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XXVII (Vivace)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
600	27	0.608	0.434	-17.149	0.382	0.995	0.764	0.115	0.449	81.135	52133	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XXVIII (Allegro)	Ludwig van Beethoven	3	0	0	0	0	0	0	0	0	0	0	1	1
601	28	0.482	0.00482	-35.014	0.0669	0.994	0.971	0.0767	0.352	127.504	87960	5	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XXIX (Adagio ma non troppo)	Ludwig van Beethoven	3	0	0	0	0	0	0	0	0	1	0	0	0
602	29	0.432	0.00392	-36.16	0.0464	0.995	0.959	0.0888	0.215	88.792	126280	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XXX (Andante, sempre cantabile)	Ludwig van Beethoven	3	0	0	0	0	1	0	0	0	0	0	0	1
603	30	0.294	0.0299	-29.533	0.0434	0.994	0.927	0.076	0.0649	97.478	305200	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XXXI (Largo, molto espressivo)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	0
604	31	0.255	0.425	-18.072	0.0408	0.99	0.84	0.108	0.153	147.968	171107	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XXXII: Fuga (Allegro - Poco adagio)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	0
605	32	0.415	0.0385	-28.821	0.0487	0.994	0.923	0.0671	0.145	122.448	249387	4	33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XXXIII (Tempo di minuetto moderato, ma non tirarsi dietro)	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
606	33	0.337	0.0282	-29.625	0.0485	0.994	0.874	0.0679	0.124	130.138	147000	4	11 Bagatelles, Op. 119: 1. Allegretto	Ludwig van Beethoven	3	0	0	0	0	0	0	0	1	0	0	0	1
607	34	0.45	0.128	-24.789	0.038	0.992	0.918	0.122	0.461	113.011	47000	4	11 Bagatelles, Op. 119: 2. Andante con moto	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
608	35	0.375	0.144	-20.43	0.0441	0.99	0.832	0.213	0.428	114.394	79000	5	11 Bagatelles, Op. 119: 3. à l'Allemande	Ludwig van Beethoven	3	0	0	0	0	0	1	0	0	0	0	0	1
609	36	0.387	0.0336	-33.517	0.0422	0.996	0.925	0.0767	0.498	97.92	85000	4	11 Bagatelles, Op. 119: 4. Andante cantabile	Ludwig van Beethoven	3	1	0	0	0	0	0	0	0	0	0	0	1
610	37	0.45	0.239	-15.949	0.0459	0.986	0.815	0.128	0.184	81.027	66000	4	11 Bagatelles, Op. 119: 5. Risoluto	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	0
611	38	0.425	0.0514	-31.803	0.0465	0.995	0.945	0.107	0.333	120.05	94000	4	11 Bagatelles, Op. 119: 6. Andante - Allegretto leggiermente	Ludwig van Beethoven	3	0	0	0	0	0	0	0	0	0	0	1	1
612	39	0.412	0.132	-22.628	0.0495	0.991	0.945	0.122	0.182	126.329	53000	4	11 Bagatelles, Op. 119: 7. Allegro ma non troppo	Ludwig van Beethoven	3	0	0	0	0	0	1	0	0	0	0	0	0
613	40	0.429	0.00592	-32.919	0.0507	0.996	0.922	0.0869	0.124	84.745	100000	4	11 Bagatelles, Op. 119: 8. Moderato cantabile	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
614	41	0.309	0.0188	-29.822	0.0583	0.992	0.905	0.08	0.1	66.568	47000	5	11 Bagatelles, Op. 119: 9. Vivace moderato	Ludwig van Beethoven	3	0	0	0	0	0	1	0	0	0	0	0	0
615	42	0.439	0.00881	-34.628	0.0613	0.993	0.962	0.0751	0.106	74.242	99000	4	11 Bagatelles, Op. 119: 11. Andante, ma non troppo	Ludwig van Beethoven	3	0	0	0	0	0	0	0	0	1	0	0	1
616	43	0.312	0.134	-20.625	0.0372	0.967	0.877	0.0986	0.115	123.507	1233917	4	"Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": 1. Allegro"	Ludwig van Beethoven	3	0	0	0	0	0	0	0	1	0	0	0	1
617	44	0.192	0.00743	-35.067	0.039	0.975	0.906	0.0936	0.0491	78.625	547093	4	"Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": 2. Adagio un poco mosso"	Ludwig van Beethoven	3	0	0	0	0	0	0	0	0	0	0	0	1
618	45	0.294	0.167	-20.114	0.0335	0.965	0.921	0.129	0.138	86.256	611632	4	"Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": 3. Rondo. Allegro"	Ludwig van Beethoven	3	0	0	0	0	0	0	0	1	0	0	0	1
619	46	0.345	0.0873	-23.337	0.0354	0.98	0.867	0.117	0.13	151.55	1067000	4	Piano Concerto No. 1 in C Major, Op. 15: 1. Allegro con brio	Ludwig van Beethoven	3	0	0	0	1	0	0	0	0	0	0	0	1
